"race","race_state","state","state_long","type","year","pollster","samplesize","startdate","enddate","democrat_name","democrat_poll","democrat_result","republican_name","republican_poll","republican_result"
"2016_Pres_WA","2016_Pres_WA","WA","washington","Pres",2016,"SurveyUSA",681,2016-10-31,2016-11-02,"clinton",50,54.3,"trump",38,38.1
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Gravis Marketing",1362,2016-11-01,2016-11-04,"clinton",47,49.8,"trump",42,44.4
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"Public Policy Polling",891,2016-10-31,2016-11-01,"clinton",48,46.5,"trump",41,47.2
"2016_Pres_CA","2016_Pres_CA","CA","california","Pres",2016,"Greenberg Quinlan Rosner/American Viewpoint",1382,2016-10-22,2016-10-30,"clinton",54,61.7,"trump",30,31.6
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"Marist College",707,2016-10-30,2016-11-01,"clinton",44,45.9,"trump",45,51
"2016_Pres_CA","2016_Pres_CA","CA","california","Pres",2016,"SurveyUSA",747,2016-10-28,2016-10-31,"clinton",56,61.7,"trump",35,31.6
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"SurveyMonkey",4092,2016-11-01,2016-11-07,"clinton",47,47.8,"trump",45,49
"2016_Pres_TX","2016_Pres_TX","TX","texas","Pres",2016,"Marist College",679,2016-10-30,2016-11-01,"clinton",40,43.2,"trump",49,52.2
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"Remington",1722,2016-10-31,2016-11-01,"clinton",39,38.1,"trump",52,56.8
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"Saguaro Strategies",2229,2016-10-29,2016-10-31,"clinton",45,45.1,"trump",44,48.7
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"YouGov",762,2016-11-03,2016-11-05,"clinton",23,27.5,"trump",40,45.5
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Public Policy Polling",704,2016-11-03,2016-11-04,"clinton",48,48.2,"trump",43,43.3
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Hampton University",802,2016-11-02,2016-11-06,"clinton",45,49.8,"trump",41,44.4
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"Emerson College",1000,2016-10-31,2016-11-02,"clinton",19.6,27.5,"trump",39.8,45.5
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"SurveyMonkey",3126,2016-11-01,2016-11-07,"clinton",48,46.2,"trump",41,49.8
"2016_Pres_TX","2016_Pres_TX","TX","texas","Pres",2016,"SurveyMonkey",3009,2016-11-01,2016-11-07,"clinton",43,43.2,"trump",46,52.2
"2016_Pres_MI","2016_Pres_MI","MI","michigan","Pres",2016,"SurveyMonkey",3145,2016-11-01,2016-11-07,"clinton",44,47.3,"trump",42,47.5
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Gravis Marketing",1250,2016-11-01,2016-11-04,"clinton",46,46.2,"trump",45,49.8
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"Emerson College",750,2016-11-04,2016-11-05,"clinton",40.5,38.1,"trump",46.5,56.8
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"SurveyMonkey",2860,2016-11-01,2016-11-07,"clinton",42,43.5,"trump",45,51.7
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"SurveyMonkey",2845,2016-11-01,2016-11-07,"clinton",46,47.9,"trump",43,48.6
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"CNN/Opinion Research Corp.",799,2016-10-27,2016-11-01,"clinton",48,47.9,"trump",44,48.6
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"SurveyMonkey",2777,2016-11-01,2016-11-07,"clinton",43,48.2,"trump",40,43.3
"2016_Pres_NM","2016_Pres_NM","NM","new mexico","Pres",2016,"Gravis Marketing",1327,2016-11-01,2016-11-02,"clinton",45,48.3,"trump",37,40
"2016_Pres_CA","2016_Pres_CA","CA","california","Pres",2016,"SurveyMonkey",2712,2016-11-01,2016-11-07,"clinton",56,61.7,"trump",31,31.6
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"CNN/Opinion Research Corp.",790,2016-10-27,2016-11-01,"clinton",43,47.9,"trump",49,45.5
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"SurveyMonkey",2609,2016-11-01,2016-11-07,"clinton",45,45.1,"trump",42,48.7
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"Trafalgar Group",1250,2016-11-06,2016-11-06,"clinton",45.11,45.9,"trump",51.58,51
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"CNN/Opinion Research Corp.",769,2016-10-27,2016-11-01,"clinton",44,45.1,"trump",49,48.7
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"Public Policy Polling",781,2016-10-31,2016-11-01,"clinton",48,46.8,"trump",43,46.5
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"SurveyMonkey",2419,2016-11-01,2016-11-07,"clinton",45,45.9,"trump",45,51
"2016_Pres_MI","2016_Pres_MI","MI","michigan","Pres",2016,"Trafalgar Group",1200,2016-11-06,2016-11-06,"clinton",46.82,47.3,"trump",48.52,47.5
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"CNN/Opinion Research Corp.",773,2016-10-27,2016-11-01,"clinton",49,47.8,"trump",47,49
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"Gravis Marketing",1424,2016-10-30,2016-10-31,"clinton",29,27.5,"trump",35,45.5
"2016_Pres_WI","2016_Pres_WI","WI","wisconsin","Pres",2016,"SurveyMonkey",2246,2016-11-01,2016-11-07,"clinton",44,46.5,"trump",42,47.2
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"SurveyMonkey",2183,2016-11-01,2016-11-07,"clinton",49,49.8,"trump",41,44.4
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Gravis Marketing",1220,2016-11-01,2016-11-02,"clinton",46,47.8,"trump",45,49
"2016_Pres_NY","2016_Pres_NY","NY","new york","Pres",2016,"SurveyMonkey",2208,2016-11-01,2016-11-07,"clinton",57,59,"trump",32,36.5
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"SurveyUSA",659,2016-10-28,2016-10-31,"clinton",44,46.2,"trump",51,49.8
"2016_Pres_MI","2016_Pres_MI","MI","michigan","Pres",2016,"Gravis Marketing",1079,2016-11-01,2016-11-04,"clinton",46,47.3,"trump",41,47.5
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Trafalgar Group",1100,2016-11-06,2016-11-06,"clinton",46.13,47.8,"trump",49.72,49
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Marist College",780,2016-10-25,2016-10-26,"clinton",47,46.2,"trump",41,49.8
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Siena College",815,2016-10-25,2016-10-27,"clinton",42,47.8,"trump",46,49
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"Trafalgar Group",1350,2016-11-03,2016-11-05,"clinton",29.52,27.5,"trump",39.95,45.5
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Marist College",779,2016-10-25,2016-10-26,"clinton",45,47.8,"trump",44,49
"2016_Pres_IL","2016_Pres_IL","IL","illinois","Pres",2016,"SurveyMonkey",1823,2016-11-01,2016-11-07,"clinton",52,55.8,"trump",35,38.8
"2016_Pres_IA","2016_Pres_IA","IA","iowa","Pres",2016,"RABA Research",1076,2016-11-01,2016-11-02,"clinton",41,41.7,"trump",44,51.1
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Trafalgar Group",1300,2016-11-03,2016-11-05,"clinton",46.51,47.9,"trump",48.43,48.6
"2016_Pres_IA","2016_Pres_IA","IA","iowa","Pres",2016,"SurveyMonkey",1781,2016-11-01,2016-11-07,"clinton",38,41.7,"trump",47,51.1
"2016_Pres_IN","2016_Pres_IN","IN","indiana","Pres",2016,"SurveyMonkey",1700,2016-11-01,2016-11-07,"clinton",35,37.8,"trump",52,56.9
"2016_Pres_SC","2016_Pres_SC","SC","south carolina","Pres",2016,"SurveyMonkey",1698,2016-11-01,2016-11-07,"clinton",43,40.7,"trump",47,54.9
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Selzer & Company",805,2016-10-21,2016-10-24,"clinton",43,47.8,"trump",45,49
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Public Policy Polling",688,2016-10-31,2016-11-01,"clinton",48,47.9,"trump",45,45.5
"2016_Pres_MI","2016_Pres_MI","MI","michigan","Pres",2016,"EPIC-MRA",600,2016-11-01,2016-11-03,"clinton",42,47.3,"trump",38,47.5
"2016_Pres_OR","2016_Pres_OR","OR","oregon","Pres",2016,"SurveyMonkey",1595,2016-11-01,2016-11-07,"clinton",50,50.1,"trump",35,39.1
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Siena College",824,2016-10-23,2016-10-25,"clinton",46,47.9,"trump",39,48.6
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Emerson College",600,2016-11-04,2016-11-05,"clinton",46.8,47.9,"trump",45.6,45.5
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"BK Strategies",1698,2016-10-27,2016-10-28,"clinton",39,38.1,"trump",53,56.8
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"SurveyMonkey",1479,2016-11-01,2016-11-07,"clinton",31,27.5,"trump",34,45.5
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"Gravis Marketing",1001,2016-11-01,2016-11-02,"clinton",41,46.8,"trump",43,46.5
"2016_Pres_CA","2016_Pres_CA","CA","california","Pres",2016,"Public Policy Institute of California",1024,2016-10-14,2016-10-23,"clinton",54,61.7,"trump",28,31.6
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"Columbus Dispatch",1151,2016-10-27,2016-11-05,"clinton",48,43.5,"trump",47,51.7
"2016_Pres_TN","2016_Pres_TN","TN","tennessee","Pres",2016,"SurveyMonkey",1433,2016-11-01,2016-11-07,"clinton",41,34.7,"trump",49,60.7
"2016_Pres_WA","2016_Pres_WA","WA","washington","Pres",2016,"SurveyMonkey",1451,2016-11-01,2016-11-07,"clinton",51,54.3,"trump",33,38.1
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"YouGov",997,2016-10-26,2016-10-28,"clinton",42,48.2,"trump",39,43.3
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"YouGov",994,2016-10-26,2016-10-28,"clinton",42,45.1,"trump",44,48.7
"2016_Pres_IA","2016_Pres_IA","IA","iowa","Pres",2016,"Emerson College",700,2016-11-01,2016-11-03,"clinton",41,41.7,"trump",44,51.1
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"YouGov",992,2016-10-26,2016-10-28,"clinton",48,46.2,"trump",45,49.8
"2016_Pres_CT","2016_Pres_CT","CT","connecticut","Pres",2016,"SurveyMonkey",1387,2016-11-01,2016-11-07,"clinton",52,54.6,"trump",36,40.9
"2016_Pres_MA","2016_Pres_MA","MA","massachusetts","Pres",2016,"SurveyMonkey",1378,2016-11-01,2016-11-07,"clinton",56,60,"trump",30,32.8
"2016_Pres_NJ","2016_Pres_NJ","NJ","new jersey","Pres",2016,"SurveyMonkey",1377,2016-11-01,2016-11-07,"clinton",52,55.5,"trump",37,41.4
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Keating Research, Inc.",605,2016-11-02,2016-11-03,"clinton",43,48.2,"trump",38,43.3
"2016_Pres_MO","2016_Pres_MO","MO","missouri","Pres",2016,"SurveyMonkey",1368,2016-11-01,2016-11-07,"clinton",40,38.1,"trump",48,56.8
"2016_Pres_KS","2016_Pres_KS","KS","kansas","Pres",2016,"SurveyUSA",624,2016-10-26,2016-10-30,"clinton",38,36.1,"trump",49,56.7
"2016_Pres_KY","2016_Pres_KY","KY","kentucky","Pres",2016,"SurveyMonkey",1315,2016-11-01,2016-11-07,"clinton",35,32.7,"trump",54,62.5
"2016_Pres_KS","2016_Pres_KS","KS","kansas","Pres",2016,"SurveyMonkey",1311,2016-11-01,2016-11-07,"clinton",36,36.1,"trump",49,56.7
"2016_Pres_MN","2016_Pres_MN","MN","minnesota","Pres",2016,"SurveyMonkey",1292,2016-11-01,2016-11-07,"clinton",46,46.4,"trump",39,44.9
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Opinion Savvy/InsiderAdvantage",843,2016-11-05,2016-11-06,"clinton",48.4,47.8,"trump",46.4,49
"2016_Pres_OK","2016_Pres_OK","OK","oklahoma","Pres",2016,"SurveyMonkey",1271,2016-11-01,2016-11-07,"clinton",32,28.9,"trump",57,65.3
"2016_Pres_NM","2016_Pres_NM","NM","new mexico","Pres",2016,"Research & Polling, Inc.",504,2016-11-01,2016-11-03,"clinton",45,48.3,"trump",40,40
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Trafalgar Group",1100,2016-11-01,2016-11-04,"clinton",45.01,47.9,"trump",49.61,45.5
"2016_Pres_TX","2016_Pres_TX","TX","texas","Pres",2016,"Emerson College",700,2016-10-31,2016-11-02,"clinton",34.5,43.2,"trump",49.2,52.2
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Quinnipiac University",612,2016-10-27,2016-11-01,"clinton",48,47.9,"trump",43,48.6
"2016_Pres_MD","2016_Pres_MD","MD","maryland","Pres",2016,"SurveyMonkey",1216,2016-11-01,2016-11-07,"clinton",59,60.3,"trump",28,33.9
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"SurveyMonkey",1207,2016-11-01,2016-11-07,"clinton",45,47.9,"trump",43,45.5
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"University of Massachusetts Lowell",695,2016-10-28,2016-11-02,"clinton",44,46.8,"trump",44,46.5
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"The Times-Picayune/Lucid",1113,2016-10-28,2016-11-01,"clinton",41,45.1,"trump",42,48.7
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"TargetSmart/William & Mary",844,2016-10-31,2016-11-03,"clinton",40,43.5,"trump",43,51.7
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Trafalgar Group",1150,2016-10-31,2016-11-03,"clinton",44.77,48.2,"trump",44.33,43.3
"2016_Pres_IN","2016_Pres_IN","IN","indiana","Pres",2016,"Public Opinion Strategies",600,2016-11-01,2016-11-03,"clinton",37,37.8,"trump",48,56.9
"2016_Pres_AL","2016_Pres_AL","AL","alabama","Pres",2016,"SurveyMonkey",1131,2016-11-01,2016-11-07,"clinton",36,34.4,"trump",55,62.1
"2016_Pres_OH","2016_Pres_OH","OH","ohio","Pres",2016,"Quinnipiac University",589,2016-10-27,2016-11-01,"clinton",41,43.5,"trump",46,51.7
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Emerson College",800,2016-10-28,2016-10-30,"clinton",49,49.8,"trump",45,44.4
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Susquehanna Polling & Research, Inc.",681,2016-10-31,2016-11-01,"clinton",45,47.9,"trump",43,48.6
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"Emerson College",750,2016-10-28,2016-10-31,"clinton",44,48.2,"trump",41,43.3
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"Marist College",768,2016-10-20,2016-10-24,"clinton",45,46.8,"trump",36,46.5
"2016_Pres_NJ","2016_Pres_NJ","NJ","new jersey","Pres",2016,"Stockton College",678,2016-10-27,2016-11-02,"clinton",51,55.5,"trump",40,41.4
"2016_Pres_NE","2016_Pres_NE","NE","nebraska","Pres",2016,"SurveyMonkey",988,2016-11-01,2016-11-07,"clinton",35,34.3,"trump",52,59.9
"2016_Pres_LA","2016_Pres_LA","LA","louisiana","Pres",2016,"SurveyMonkey",982,2016-11-01,2016-11-07,"clinton",38,38.4,"trump",52,58.1
"2016_Pres_ME","2016_Pres_ME","ME","maine","Pres",2016,"Emerson College",750,2016-10-28,2016-10-30,"clinton",46,48,"trump",42,45
"2016_Pres_IA","2016_Pres_IA","IA","iowa","Pres",2016,"Quinnipiac University",791,2016-10-20,2016-10-26,"clinton",44,41.7,"trump",44,51.1
"2016_Pres_CO","2016_Pres_CO","CO","colorado","Pres",2016,"The Times-Picayune/Lucid",972,2016-10-28,2016-11-01,"clinton",44,48.2,"trump",37,43.3
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Winthrop University",712,2016-10-23,2016-10-30,"clinton",44,49.8,"trump",39,44.4
"2016_Pres_PA","2016_Pres_PA","PA","pennsylvania","Pres",2016,"Franklin & Marshall College",652,2016-10-26,2016-10-30,"clinton",49,47.9,"trump",38,48.6
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"Emerson College",700,2016-10-28,2016-10-31,"clinton",43,45.1,"trump",47,48.7
"2016_Pres_MN","2016_Pres_MN","MN","minnesota","Pres",2016,"SurveyUSA",656,2016-10-22,2016-10-26,"clinton",49,46.4,"trump",39,44.9
"2016_Pres_AR","2016_Pres_AR","AR","arkansas","Pres",2016,"SurveyMonkey",930,2016-11-01,2016-11-07,"clinton",32,33.7,"trump",56,60.6
"2016_Pres_TX","2016_Pres_TX","TX","texas","Pres",2016,"Dixie Strategies",980,2016-10-27,2016-10-29,"clinton",39.39,43.2,"trump",51.53,52.2
"2016_Pres_AK","2016_Pres_AK","AK","alaska","Pres",2016,"Gravis Marketing",617,2016-11-03,2016-11-06,"clinton",41,36.6,"trump",44,51.3
"2016_Pres_VA","2016_Pres_VA","VA","virginia","Pres",2016,"Quinnipiac University",749,2016-10-20,2016-10-26,"clinton",50,49.8,"trump",38,44.4
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"The Times-Picayune/Lucid",892,2016-10-28,2016-11-01,"clinton",45,47.9,"trump",38,45.5
"2016_Pres_NV","2016_Pres_NV","NV","nevada","Pres",2016,"Marist College",707,2016-10-20,2016-10-24,"clinton",43,47.9,"trump",43,45.5
"2016_Pres_TX","2016_Pres_TX","TX","texas","Pres",2016,"YouGov",1031,2016-10-21,2016-10-22,"clinton",43,43.2,"trump",46,52.2
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"University of North Florida",819,2016-10-20,2016-10-25,"clinton",43,47.8,"trump",39,49
"2016_Pres_AZ","2016_Pres_AZ","AZ","arizona","Pres",2016,"Data Orbital",550,2016-11-04,2016-11-06,"clinton",44,45.1,"trump",47,48.7
"2016_Pres_KY","2016_Pres_KY","KY","kentucky","Pres",2016,"Cygnal Political",811,2016-10-26,2016-10-28,"clinton",32,32.7,"trump",56,62.5
"2016_Pres_FL","2016_Pres_FL","FL","florida","Pres",2016,"Public Policy Polling",742,2016-10-25,2016-10-26,"clinton",48,47.8,"trump",44,49
"2016_Pres_NH","2016_Pres_NH","NH","new hampshire","Pres",2016,"MassINC Polling Group",500,2016-10-29,2016-11-01,"clinton",39,46.8,"trump",40,46.5
"2016_Pres_UT","2016_Pres_UT","UT","utah","Pres",2016,"Monmouth University",402,2016-10-30,2016-11-02,"clinton",31,27.5,"trump",37,45.5
"2016_Pres_GA","2016_Pres_GA","GA","georgia","Pres",2016,"Emerson College",650,2016-10-28,2016-10-31,"clinton",42,45.9,"trump",51,51
"2016_Pres_NC","2016_Pres_NC","NC","north carolina","Pres",2016,"Trafalgar Group",1150,2016-10-27,2016-11-01,"clinton",44.16,46.2,"trump",49.13,49.8
